[rosmaster.master][INFO] 2026-03-11 22:28:30,263: +PUB [/camera/depth/image_raw/compressed/parameter_updates] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,267: +PARAM [/camera/color/image_raw/compressed/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,268: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,268: +PARAM [/camera/color/image_raw/compressed/jpeg_progressive] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,269: +PARAM [/camera/color/image_raw/compressed/jpeg_optimize] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,269: +PARAM [/camera/color/image_raw/compressed/jpeg_restart_interval] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,270: +PARAM [/camera/color/image_raw/compressed/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,271: +PARAM [/camera/depth/image_raw/compressed/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,272: +PARAM [/camera/depth/image_raw/compressed/jpeg_quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,272: +PARAM [/camera/depth/image_raw/compressed/jpeg_progressive] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,273: +PARAM [/camera/depth/image_raw/compressed/jpeg_optimize] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,274: +PARAM [/camera/depth/image_raw/compressed/jpeg_restart_interval] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,274: +PARAM [/camera/depth/image_raw/compressed/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,275: +PARAM [/camera/depth/image_raw/compressed/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,276: +PARAM [/camera/depth/image_raw/compressed/jpeg_quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,277: +PARAM [/camera/depth/image_raw/compressed/jpeg_progressive] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,277: +PARAM [/camera/depth/image_raw/compressed/jpeg_optimize] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,278: +PARAM [/camera/depth/image_raw/compressed/jpeg_restart_interval] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,279: +PARAM [/camera/depth/image_raw/compressed/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,279: +PARAM [/camera/color/image_raw/compressed/format] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,280: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,281: +PARAM [/camera/color/image_raw/compressed/jpeg_progressive] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,282: +PUB [/camera/depth/image_raw] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,283: +PARAM [/camera/color/image_raw/compressed/jpeg_optimize] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,284: +PARAM [/camera/color/image_raw/compressed/jpeg_restart_interval] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,284: +PARAM [/camera/color/image_raw/compressed/png_level] by /gazebo
[rosmaster.master][INFO] 2026-03-11 22:28:30,286: +PUB [/camera/depth/image_raw/theora] /gazebo http://rera:38799/
[rosmaster.master][INFO] 2026-03-11 22:28:30,287: +PUB [/camera/color/image_raw] /gazebo http://rera:38799/
